name	condition	treatment	treatment.nested	replicates
shCTRL_Rep1	shCTRL	LPS0	lps0_shctrl	Rep1
shCTRL_Rep2	shCTRL	LPS0	lps0_shctrl	Rep2
shCTRL_Rep3	shCTRL	LPS0	lps0_shctrl	Rep3
shCTRL_Rep1	shCTRL	LPS3	lps3_shctrl	Rep1
shCTRL_Rep2	shCTRL	LPS3	lps3_shctrl	Rep2
shCTRL_Rep3	shCTRL	LPS3	lps3_shctrl	Rep3
shCTRL_Rep1	shCTRL	LPS12	lps12_shctrl	Rep1
shCTRL_Rep2	shCTRL	LPS12	lps12_shctrl	Rep2
shCTRL_Rep3	shCTRL	LPS12	lps3_shctrl	Rep3
shMOF_Rep1	shMOF	LPS0	lps0_shmof	Rep1
shMOF_Rep2	shMOF	LPS0	lps0_shmof	Rep2
shMOF_Rep3	shMOF	LPS0	lps0_shmof	Rep3
shMOF_Rep1	shMOF	LPS3	lps3_shmof	Rep1
shMOF_Rep2	shMOF	LPS3	lps3_shmof	Rep2
shMOF_Rep3	shMOF	LPS3	lps3_shmof	Rep3
shMOF_Rep1	shMOF	LPS12	lps12_shmof	Rep1
shMOF_Rep2	shMOF	LPS12	lps12_shmof	Rep2
shMOF_Rep3	shMOF	LPS12	lps12_shmof	Rep3
shPRDX1_Rep1	shPRDX1	LPS0	lps0_shprdx1	Rep1
shPRDX1_Rep2	shPRDX1	LPS0	lps0_shprdx1	Rep2
shPRDX1_Rep3	shPRDX1	LPS0	lps0_shprdx1	Rep3
shPRDX1_Rep1	shPRDX1	LPS3	lps3_shprdx1	Rep1
shPRDX1_Rep2	shPRDX1	LPS3	lps3_shprdx1	Rep2
shPRDX1_Rep3	shPRDX1	LPS3	lps3_shprdx1	Rep3
shPRDX1_Rep1	shPRDX1	LPS12	lps12_shprdx1	Rep1
shPRDX1_Rep2	shPRDX1	LPS12	lps12_shprdx1	Rep2
shPRDX1_Rep3	shPRDX1	LPS12	lps12_shprdx1	Rep3
