name	condition	time	replicate
vector_LPS0_rep1	vector	0	1
vector_LPS0_rep2	vector	0	2
vector_LPS0_rep3	vector	0	3
WT_LPS0_rep1	WT	0	1
WT_LPS0_rep2	WT	0	2
WT_LPS0_rep3	WT	0	3
K197R_LPS0_rep1	K197R	0	1
K197R_LPS0_rep2	K197R	0	2
K197R_LPS0_rep3	K197R	0	3
K197Q_LPS0_rep1	K197Q	0	1
K197Q_LPS0_rep2	K197Q	0	2
K197Q_LPS0_rep3	K197Q	0	3
vector_LPS3_rep1	vector	3	1
vector_LPS3_rep2	vector	3	2
vector_LPS3_rep3	vector	3	3
WT_LPS3_rep1	WT	3	1
WT_LPS3_rep2	WT	3	2
WT_LPS3_rep3	WT	3	3
K197R_LPS3_rep1	K197R	3	1
K197R_LPS3_rep2	K197R	3	2
K197R_LPS3_rep3	K197R	3	3
K197Q_LPS3_rep1	K197Q	3	1
K197Q_LPS3_rep2	K197Q	3	2
K197Q_LPS3_rep3	K197Q	3	3
vector_LPS12_rep1	vector	12	1
vector_LPS12_rep2	vector	12	2
vector_LPS12_rep3	vector	12	3
WT_LPS12_rep1	WT	12	1
WT_LPS12_rep2	WT	12	2
WT_LPS12_rep3	WT	12	3
K197R_LPS12_rep1	K197R	12	1
K197R_LPS12_rep2	K197R	12	2
K197R_LPS12_rep3	K197R	12	3
K197Q_LPS12_rep1	K197Q	12	1
K197Q_LPS12_rep2	K197Q	12	2
K197Q_LPS12_rep3	K197Q	12	3
